ride_id,timestamp,hour,day_of_week,pickup_district,dropoff_district,passengers,distance_km,duration_min,fare_rub
66,2024-08-23 16:45:09,16,Friday,Спальный-Юг,Университет,4,15.8,60,562
67,2024-10-30 12:17:20,12,Wednesday,Университет,Спальный-Север,4,30.0,121,728
68,2024-12-08 15:24:21,15,Sunday,Спальный-Север,Промзона,3,2.0,8,144
69,2024-11-01 10:44:56,10,Friday,Вокзал,Спальный-Север,4,10.4,19,361
70,2024-05-03 13:44:30,13,Friday,Вокзал,Спальный-Юг,2,23.0,72,702
71,2024-05-04 12:19:42,12,Saturday,ТЦ-Мега,Промзона,3,20.8,64,588
72,2024-05-18 17:19:16,17,Saturday,Аэропорт,Спальный-Север,2,8.8,33,299
73,2024-05-21 18:46:37,18,Tuesday,Вокзал,Спальный-Север,3,34.2,110,827
74,2024-04-01 08:19:00,8,Monday,Центр,Спальный-Юг,2,25.1,54,521
75,2024-09-08 16:06:55,16,Sunday,Промзона,Аэропорт,1,1.4,4,132
76,2024-09-01 09:07:52,9,Sunday,Центр,Аэропорт,2,3.2,10,177
77,2024-06-04 18:05:15,18,Tuesday,Спальный-Север,ТЦ-Мега,4,5.0,19,228
78,2024-06-01 20:55:37,20,Saturday,Вокзал,Спальный-Север,2,34.7,91,914
79,2024-02-11 09:10:15,9,Sunday,Университет,Университет,3,6.9,14,211
80,2024-05-27 04:45:18,4,Monday,Спальный-Юг,Спальный-Север,4,24.9,75,720
81,2024-04-25 07:41:09,7,Thursday,Аэропорт,Спальный-Юг,3,31.9,129,764
82,2024-08-27 12:44:19,12,Tuesday,Университет,Университет,1,24.8,108,738
83,2024-08-09 16:47:20,16,Friday,Центр,Спальный-Юг,1,21.5,40,487
84,2024-03-30 18:30:33,18,Saturday,ТЦ-Мега,Университет,1,23.2,99,619
85,2024-07-28 13:21:20,13,Sunday,Университет,Спальный-Юг,4,23.8,98,660
86,2024-10-08 19:02:29,19,Tuesday,ТЦ-Мега,Центр,4,4.0,10,173
87,2024-04-06 12:33:23,12,Saturday,Центр,Спальный-Север,3,22.2,70,605
88,2024-05-27 14:28:56,14,Monday,Спальный-Север,Аэропорт,3,24.7,53,743
89,2024-10-09 14:26:05,14,Wednesday,Вокзал,Аэропорт,4,8.6,35,283
90,2024-05-29 21:32:45,21,Wednesday,Спальный-Север,Университет,2,10.3,42,409
91,2024-11-02 11:32:47,11,Saturday,ТЦ-Мега,Промзона,3,30.9,128,812
92,2024-05-24 19:46:19,19,Friday,Аэропорт,Университет,4,29.5,99,847
93,2024-10-09 10:48:34,10,Wednesday,Спальный-Север,ТЦ-Мега,2,13.8,60,506
94,2024-07-29 19:02:20,19,Monday,ТЦ-Мега,Аэропорт,4,26.3,97,823
95,2024-03-05 22:32:37,22,Tuesday,Вокзал,Университет,1,12.3,25,402
96,2024-07-28 17:55:41,17,Sunday,Спальный-Юг,Промзона,4,34.0,68,910
97,2024-06-17 17:54:43,17,Monday,Университет,Центр,1,30.2,85,728
98,2024-12-16 08:58:18,8,Monday,Вокзал,Вокзал,4,34.9,133,936
99,2024-06-02 08:57:01,8,Sunday,Промзона,ТЦ-Мега,2,2.6,10,159
100,2024-07-29 09:36:43,9,Monday,ТЦ-Мега,Спальный-Север,4,27.9,63,583
101,2024-03-14 20:14:29,20,Thursday,Университет,Спальный-Юг,2,22.7,69,662
102,2024-06-25 06:37:19,6,Tuesday,Спальный-Юг,Спальный-Север,4,22.7,67,563
103,2024-02-24 19:15:24,19,Saturday,Спальный-Юг,Центр,4,20.4,68,683
104,2024-10-16 09:55:43,9,Wednesday,Университет,Спальный-Юг,2,27.5,122,924
105,2024-06-29 16:14:40,16,Saturday,Аэропорт,Вокзал,1,7.5,19,285
106,2024-08-13 09:02:37,9,Tuesday,Промзона,ТЦ-Мега,2,13.4,29,441
107,2024-10-03 08:56:23,8,Thursday,Спальный-Юг,Университет,3,19.0,81,648
108,2024-06-22 18:51:07,18,Saturday,Спальный-Север,ТЦ-Мега,3,16.9,34,498
109,2024-07-21 07:00:16,7,Sunday,Спальный-Юг,ТЦ-Мега,3,19.2,58,576
110,2024-04-29 07:30:01,7,Monday,Спальный-Север,Вокзал,4,22.1,96,630
111,2024-06-03 20:41:26,20,Monday,Университет,Вокзал,1,5.0,10,182
112,2024-10-02 08:08:24,8,Wednesday,ТЦ-Мега,Аэропорт,4,16.4,59,537
113,2024-09-07 17:39:26,17,Saturday,Спальный-Север,Университет,4,32.9,84,890
114,2024-07-04 21:06:43,21,Thursday,Центр,ТЦ-Мега,3,13.5,57,463
115,2024-03-03 08:54:52,8,Sunday,Центр,Центр,3,16.5,59,522
116,2024-03-05 09:50:36,9,Tuesday,Спальный-Север,Спальный-Север,3,8.0,32,304
117,2024-11-01 18:00:17,18,Friday,Спальный-Юг,Аэропорт,1,30.2,66,634
118,2024-01-14 17:08:00,17,Sunday,Центр,Аэропорт,3,13.2,52,440
119,2024-08-03 06:33:07,6,Saturday,Вокзал,Университет,2,26.4,81,784
120,2024-01-23 21:46:50,21,Tuesday,Центр,Центр,4,31.9,114,807
121,2024-08-06 19:43:06,19,Tuesday,Вокзал,Промзона,2,17.7,75,475
122,2024-05-20 06:39:40,6,Monday,Спальный-Юг,Университет,4,20.9,78,586
123,2024-12-25 07:07:54,7,Wednesday,Спальный-Север,ТЦ-Мега,4,23.3,97,702
124,2024-07-30 20:21:52,20,Tuesday,ТЦ-Мега,Промзона,3,16.4,48,408
125,2024-03-19 11:43:59,11,Tuesday,ТЦ-Мега,Вокзал,3,17.1,35,390
126,2024-10-11 18:03:37,18,Friday,ТЦ-Мега,Промзона,4,33.5,111,948
127,2024-01-27 19:18:38,19,Saturday,Аэропорт,Университет,2,11.6,24,346
128,2024-06-28 19:54:35,19,Friday,ТЦ-Мега,Центр,3,13.5,52,444
129,2024-05-19 04:44:48,4,Sunday,Аэропорт,ТЦ-Мега,1,11.5,31,301
130,2024-11-20 07:01:05,7,Wednesday,Промзона,Аэропорт,3,26.4,63,654
131,2024-06-15 10:49:36,10,Saturday,Центр,Вокзал,3,21.3,89,567
132,2024-08-05 12:31:38,12,Monday,Вокзал,Промзона,4,16.0,41,495
133,2024-12-13 07:43:37,7,Friday,ТЦ-Мега,Центр,1,17.5,63,444
134,2024-04-18 08:49:08,8,Thursday,Университет,ТЦ-Мега,2,27.0,70,596
135,2024-09-29 07:45:14,7,Sunday,Вокзал,ТЦ-Мега,1,18.0,73,607
136,2024-08-23 12:58:04,12,Friday,ТЦ-Мега,Спальный-Юг,1,30.3,102,841
137,2024-06-15 12:10:51,12,Saturday,Промзона,Вокзал,4,33.2,101,929
138,2024-05-04 19:27:37,19,Saturday,Промзона,Спальный-Север,3,14.6,29,460
139,2024-02-09 18:32:40,18,Friday,Промзона,Промзона,2,4.9,16,235
140,2024-03-15 08:16:12,8,Friday,Вокзал,Аэропорт,4,6.9,15,265
141,2024-10-15 13:48:37,13,Tuesday,Промзона,Промзона,2,16.3,70,528
142,2024-08-28 12:28:40,12,Wednesday,Вокзал,Спальный-Юг,4,11.3,29,300
143,2024-01-30 13:23:53,13,Tuesday,Вокзал,ТЦ-Мега,4,10.8,38,411
144,2024-01-22 15:28:58,15,Monday,Университет,Аэропорт,1,28.5,101,736
145,2024-06-24 12:45:05,12,Monday,Университет,Университет,2,18.2,41,445
146,2024-05-24 11:24:26,11,Friday,Промзона,Вокзал,3,27.3,99,640
147,2024-12-13 07:24:18,7,Friday,Аэропорт,Промзона,1,9.6,39,386
148,2024-03-13 15:58:22,15,Wednesday,Аэропорт,Вокзал,3,11.5,41,396
149,2024-11-25 15:50:21,15,Monday,Вокзал,ТЦ-Мега,3,28.6,103,886
150,2024-06-07 02:11:13,2,Friday,Аэропорт,Аэропорт,1,12.6,49,373
151,2024-02-21 09:32:49,9,Wednesday,Промзона,Аэропорт,4,19.4,74,583
152,2024-04-02 07:53:44,7,Tuesday,Университет,Центр,4,27.2,108,687
153,2024-05-01 11:28:39,11,Wednesday,Спальный-Север,Спальный-Юг,4,10.7,41,358
154,2024-04-09 20:23:43,20,Tuesday,Спальный-Юг,ТЦ-Мега,4,33.2,148,948
155,2024-04-12 22:51:38,22,Friday,Промзона,Вокзал,1,5.7,14,233
156,2024-03-23 09:17:28,9,Saturday,Спальный-Север,Университет,3,31.8,70,761
157,2024-07-31 21:03:25,21,Wednesday,Промзона,Спальный-Север,1,18.1,44,585
158,2024-02-20 10:53:45,10,Tuesday,Спальный-Юг,Университет,2,23.1,91,591
159,2024-08-28 18:28:39,18,Wednesday,Аэропорт,ТЦ-Мега,1,1.2,2,121
160,2024-05-01 18:19:07,18,Wednesday,Университет,Вокзал,1,2.6,8,168
161,2024-09-12 19:38:34,19,Thursday,Аэропорт,Спальный-Юг,4,1.6,5,133
162,2024-06-29 00:15:36,0,Saturday,Промзона,Вокзал,1,15.2,55,405
163,2024-08-28 11:02:40,11,Wednesday,Промзона,Вокзал,3,14.2,40,457
164,2024-12-02 09:40:06,9,Monday,Центр,Промзона,3,27.2,103,723
165,2024-03-30 19:53:49,19,Saturday,Аэропорт,Аэропорт,1,24.3,108,724
166,2024-08-22 17:02:18,17,Thursday,Промзона,Спальный-Юг,4,7.9,31,327
167,2024-10-05 23:30:16,23,Saturday,Центр,Промзона,3,2.2,8,149
168,2024-07-07 07:27:56,7,Sunday,Промзона,Аэропорт,4,14.6,44,503
169,2024-07-07 17:59:51,17,Sunday,Вокзал,ТЦ-Мега,2,18.7,74,608
170,2024-06-13 14:06:05,14,Thursday,ТЦ-Мега,Аэропорт,4,12.1,31,361
171,2024-01-22 10:46:55,10,Monday,Центр,Вокзал,4,32.0,111,845
172,2024-12-13 11:10:01,11,Friday,Центр,Аэропорт,1,5.9,20,257
173,2024-11-26 08:23:23,8,Tuesday,Университет,Промзона,3,14.0,47,447
174,2024-02-09 12:36:08,12,Friday,Спальный-Север,Вокзал,1,19.0,55,561
175,2024-09-12 18:33:24,18,Thursday,Университет,Спальный-Север,3,32.1,68,870
176,2024-09-08 17:12:07,17,Sunday,Университет,Вокзал,3,5.6,11,199
177,2024-12-29 17:04:35,17,Sunday,Аэропорт,Промзона,2,19.4,82,662
178,2024-04-12 07:50:08,7,Friday,Промзона,Университет,2,9.0,28,296
179,2024-02-14 16:04:19,16,Wednesday,ТЦ-Мега,ТЦ-Мега,1,14.5,54,451
180,2024-06-11 07:41:04,7,Tuesday,Аэропорт,Аэропорт,4,16.3,59,470
181,2024-01-29 13:53:07,13,Monday,Спальный-Север,Промзона,3,18.6,49,451
182,2024-05-08 19:12:40,19,Wednesday,Вокзал,Аэропорт,2,33.5,85,881
183,2024-11-15 08:46:57,8,Friday,Центр,Вокзал,1,21.6,88,657
184,2024-10-22 21:16:41,21,Tuesday,Центр,Университет,3,8.2,27,303
185,2024-06-03 16:30:15,16,Monday,Вокзал,Центр,2,28.4,104,733
186,2024-09-04 12:29:13,12,Wednesday,Промзона,Промзона,4,12.6,28,416
187,2024-07-08 07:32:35,7,Monday,Университет,Спальный-Север,2,4.6,11,183
188,2024-05-28 07:24:55,7,Tuesday,Аэропорт,Промзона,3,21.9,54,660
189,2024-03-22 08:31:32,8,Friday,Вокзал,ТЦ-Мега,4,16.9,71,529
190,2024-04-20 22:37:22,22,Saturday,Университет,Спальный-Юг,1,2.7,7,163
191,2024-08-08 19:08:56,19,Thursday,Центр,ТЦ-Мега,1,10.0,28,316
192,2024-04-09 15:23:35,15,Tuesday,Спальный-Юг,Вокзал,2,10.8,31,340
193,2024-07-20 22:23:50,22,Saturday,Аэропорт,Спальный-Север,4,34.6,114,870
194,2024-01-24 13:02:08,13,Wednesday,Аэропорт,Аэропорт,3,25.3,100,735
195,2024-06-12 21:10:25,21,Wednesday,Промзона,Университет,3,34.7,132,884
196,2024-01-09 13:23:21,13,Tuesday,Центр,Университет,3,23.9,106,738
197,2024-10-23 22:36:14,22,Wednesday,ТЦ-Мега,Аэропорт,2,25.5,86,621
198,2024-12-24 04:07:12,4,Tuesday,Спальный-Север,ТЦ-Мега,4,1.6,4,130
199,2024-02-01 19:45:08,19,Thursday,Университет,ТЦ-Мега,3,18.6,62,633
200,2024-08-23 21:58:34,21,Friday,Спальный-Юг,Университет,2,12.6,35,418
201,2024-05-22 21:35:19,21,Wednesday,Спальный-Юг,Спальный-Север,4,8.6,38,305
202,2024-06-27 10:35:59,10,Thursday,ТЦ-Мега,ТЦ-Мега,3,32.8,123,834
203,2024-03-15 21:18:02,21,Friday,Университет,Спальный-Юг,4,10.8,40,347
204,2024-10-02 08:17:59,8,Wednesday,Спальный-Север,Спальный-Север,1,20.1,51,465
205,2024-09-28 17:14:40,17,Saturday,Университет,Вокзал,2,8.9,18,272
206,2024-10-08 00:59:10,0,Tuesday,Университет,Спальный-Север,3,14.8,64,536
207,2024-11-26 10:03:58,10,Tuesday,Центр,Аэропорт,4,27.1,97,682
208,2024-03-31 19:59:58,19,Sunday,Аэропорт,Спальный-Юг,1,2.2,9,162
209,2024-10-17 00:38:06,0,Thursday,Университет,Аэропорт,4,32.6,88,815
210,2024-02-27 09:21:10,9,Tuesday,Центр,Промзона,3,25.9,92,781
211,2024-04-08 15:11:39,15,Monday,Промзона,Вокзал,4,30.1,127,964
212,2024-04-04 17:08:30,17,Thursday,Спальный-Север,Университет,3,12.0,30,335
213,2024-06-03 21:37:46,21,Monday,Спальный-Север,Центр,1,20.5,51,522
214,2024-03-22 13:25:43,13,Friday,Спальный-Юг,Вокзал,3,18.1,76,597
215,2024-04-23 11:14:08,11,Tuesday,Промзона,ТЦ-Мега,4,17.3,52,583
216,2024-12-06 18:52:13,18,Friday,Вокзал,Университет,3,26.9,98,779
217,2024-10-15 06:07:03,6,Tuesday,Аэропорт,Аэропорт,3,29.2,124,757
218,2024-08-14 19:07:43,19,Wednesday,Университет,Центр,4,8.0,27,257
219,2024-07-31 07:29:36,7,Wednesday,Центр,ТЦ-Мега,3,3.0,9,178
220,2024-04-21 19:37:04,19,Sunday,Центр,Вокзал,4,2.5,7,146
221,2024-07-28 04:11:49,4,Sunday,ТЦ-Мега,Промзона,4,5.6,20,248
222,2024-07-12 12:24:05,12,Friday,Промзона,Вокзал,2,24.2,87,695
223,2024-07-20 23:33:08,23,Saturday,Центр,Спальный-Юг,4,25.7,62,533
224,2024-10-05 17:27:34,17,Saturday,Аэропорт,Спальный-Юг,2,13.9,34,399
225,2024-02-27 21:02:51,21,Tuesday,Центр,Спальный-Север,2,23.4,81,762
226,2024-10-31 06:02:28,6,Thursday,Центр,ТЦ-Мега,4,21.3,79,524
227,2024-04-21 08:48:55,8,Sunday,Спальный-Север,Промзона,3,27.4,60,821
228,2024-03-14 08:42:33,8,Thursday,Аэропорт,ТЦ-Мега,4,8.5,22,251
229,2024-06-25 05:41:42,5,Tuesday,ТЦ-Мега,Аэропорт,3,14.0,45,455
230,2024-10-02 11:30:15,11,Wednesday,Университет,Центр,4,29.9,78,826
231,2024-10-12 22:33:08,22,Saturday,Вокзал,Университет,3,14.2,35,387
232,2024-04-07 07:03:17,7,Sunday,Вокзал,Спальный-Север,2,13.8,47,365
233,2024-06-19 13:19:58,13,Wednesday,Вокзал,Университет,2,1.5,6,144
234,2024-12-26 17:13:25,17,Thursday,ТЦ-Мега,Университет,3,32.1,106,946
235,2024-07-03 09:32:56,9,Wednesday,Университет,Промзона,2,17.9,37,564
236,2024-07-30 11:02:36,11,Tuesday,ТЦ-Мега,Спальный-Юг,2,30.4,116,702
237,2024-04-27 08:24:36,8,Saturday,Промзона,Спальный-Юг,4,29.3,92,827
238,2024-11-24 22:47:31,22,Sunday,Аэропорт,Университет,2,16.7,63,485
239,2024-10-04 20:41:03,20,Friday,Центр,Центр,4,18.8,76,492
240,2024-11-18 07:14:04,7,Monday,Промзона,Центр,4,25.0,46,618
241,2024-01-09 17:00:34,17,Tuesday,Спальный-Юг,Спальный-Юг,1,19.8,36,514
242,2024-12-23 13:43:27,13,Monday,Вокзал,Аэропорт,2,28.4,121,713
243,2024-09-26 08:16:52,8,Thursday,ТЦ-Мега,Университет,2,13.1,52,372
244,2024-04-25 23:19:43,23,Thursday,Центр,Вокзал,4,29.2,59,858
245,2024-10-09 11:30:03,11,Wednesday,ТЦ-Мега,Промзона,1,22.6,84,558
246,2024-01-22 20:14:13,20,Monday,Спальный-Юг,Центр,1,31.6,116,890
247,2024-05-23 17:57:34,17,Thursday,Промзона,Центр,2,20.2,38,606
248,2024-12-30 15:52:25,15,Monday,ТЦ-Мега,Промзона,4,32.6,85,845
249,2024-03-12 18:50:44,18,Tuesday,Центр,Вокзал,4,25.6,81,819
250,2024-02-08 08:21:38,8,Thursday,Промзона,Центр,3,27.1,119,771
251,2024-08-18 18:31:14,18,Sunday,ТЦ-Мега,Вокзал,3,13.1,57,428
252,2024-12-31 18:04:05,18,Tuesday,Аэропорт,ТЦ-Мега,3,10.1,29,358
253,2024-02-16 11:00:19,11,Friday,Вокзал,Аэропорт,4,16.1,62,434
254,2024-10-11 12:32:26,12,Friday,Промзона,ТЦ-Мега,1,4.5,9,197
255,2024-07-17 09:49:05,9,Wednesday,Спальный-Север,Аэропорт,4,25.6,85,831
256,2024-05-17 08:19:17,8,Friday,ТЦ-Мега,Спальный-Юг,4,17.8,35,461
257,2024-07-03 18:16:15,18,Wednesday,Университет,Вокзал,2,25.5,80,723
258,2024-07-21 09:21:53,9,Sunday,Промзона,ТЦ-Мега,2,22.1,88,614
259,2024-11-04 09:44:12,9,Monday,Промзона,Спальный-Юг,4,17.3,39,454
260,2024-05-04 22:20:24,22,Saturday,Спальный-Север,Аэропорт,1,10.5,41,346
261,2024-08-24 21:45:13,21,Saturday,ТЦ-Мега,Университет,2,15.9,41,483
262,2024-05-03 16:16:42,16,Friday,Университет,Университет,4,6.2,18,234
263,2024-12-20 14:26:34,14,Friday,Вокзал,Вокзал,2,2.3,10,164
264,2024-06-30 17:10:41,17,Sunday,ТЦ-Мега,Промзона,4,21.8,72,646
265,2024-02-20 07:16:14,7,Tuesday,Спальный-Север,Университет,3,18.4,59,546
266,2024-12-13 11:37:44,11,Friday,Вокзал,Спальный-Юг,4,18.0,49,418
267,2024-02-13 20:07:53,20,Tuesday,Университет,Спальный-Север,4,33.0,72,743
268,2024-02-19 10:28:46,10,Monday,Вокзал,Центр,3,24.7,66,603
269,2024-12-12 17:51:10,17,Thursday,Аэропорт,Промзона,4,32.6,124,907
270,2024-04-28 21:51:25,21,Sunday,ТЦ-Мега,Центр,2,22.4,52,620
271,2024-08-07 12:24:00,12,Wednesday,Вокзал,Вокзал,2,25.0,59,706
272,2024-04-10 11:29:07,11,Wednesday,Промзона,ТЦ-Мега,4,9.9,41,353
273,2024-06-27 15:22:54,15,Thursday,Спальный-Юг,Вокзал,2,16.6,38,487
274,2024-05-02 10:19:07,10,Thursday,ТЦ-Мега,Аэропорт,4,7.2,26,275
275,2024-09-06 12:40:34,12,Friday,Аэропорт,Университет,3,24.6,87,815
276,2024-06-10 07:53:28,7,Monday,Университет,Аэропорт,2,22.1,91,758
277,2024-10-14 19:32:41,19,Monday,Университет,Университет,2,17.8,65,518
278,2024-01-16 06:50:48,6,Tuesday,Спальный-Юг,Аэропорт,4,8.5,16,253
279,2024-09-10 15:35:32,15,Tuesday,Промзона,Центр,4,4.8,10,215
280,2024-08-05 14:06:47,14,Monday,Центр,Университет,3,29.2,112,761
281,2024-02-14 10:28:55,10,Wednesday,Промзона,ТЦ-Мега,2,34.8,136,872
282,2024-04-15 16:52:13,16,Monday,Аэропорт,Промзона,3,28.4,95,782
283,2024-05-16 09:54:32,9,Thursday,ТЦ-Мега,Центр,3,34.5,125,797
284,2024-03-05 19:44:55,19,Tuesday,Спальный-Север,ТЦ-Мега,4,5.5,12,208
285,2024-11-19 07:17:40,7,Tuesday,Вокзал,ТЦ-Мега,3,15.1,46,469
286,2024-07-07 17:29:31,17,Sunday,Вокзал,Университет,3,12.1,22,383
287,2024-09-30 19:25:13,19,Monday,Промзона,Спальный-Юг,3,33.9,137,949
288,2024-03-07 14:36:54,14,Thursday,Центр,Центр,1,17.5,48,525
289,2024-08-23 16:01:07,16,Friday,ТЦ-Мега,Спальный-Север,2,32.6,73,786
290,2024-06-03 19:10:55,19,Monday,Спальный-Юг,Вокзал,3,32.7,83,872
291,2024-11-28 17:10:03,17,Thursday,Спальный-Север,ТЦ-Мега,1,14.5,38,451
292,2024-01-01 17:13:30,17,Monday,Университет,Центр,1,3.6,12,186
293,2024-03-02 17:55:27,17,Saturday,Вокзал,Вокзал,1,24.6,76,604
294,2024-06-02 10:08:24,10,Sunday,Аэропорт,Вокзал,1,27.3,105,674
295,2024-03-25 16:28:22,16,Monday,ТЦ-Мега,Университет,2,25.6,89,624
296,2024-02-21 06:08:48,6,Wednesday,ТЦ-Мега,Промзона,2,5.2,20,221
297,2024-11-26 09:05:15,9,Tuesday,Центр,Спальный-Юг,2,19.8,68,594
298,2024-09-17 14:12:47,14,Tuesday,Спальный-Север,Университет,4,14.3,51,486
299,2024-09-12 07:40:38,7,Thursday,Промзона,Промзона,2,3.4,14,169
300,2024-10-18 11:26:23,11,Friday,Вокзал,Центр,1,19.6,44,516
301,2024-04-20 01:02:59,1,Saturday,ТЦ-Мега,ТЦ-Мега,4,3.1,12,177
302,2024-10-01 06:34:39,6,Tuesday,Спальный-Север,Аэропорт,3,6.2,13,205
303,2024-11-20 11:48:53,11,Wednesday,ТЦ-Мега,Спальный-Север,1,23.1,82,613
304,2024-08-10 09:07:29,9,Saturday,Аэропорт,Вокзал,1,21.8,42,591
305,2024-12-25 17:00:10,17,Wednesday,Спальный-Юг,Аэропорт,3,17.9,49,505
306,2024-05-17 07:46:56,7,Friday,ТЦ-Мега,Спальный-Юг,1,5.0,21,219
